year,title,pmid,lastname,forename,initials,affiliation,lab
2014,An epigenomic approach to therapy for tamoxifen-resistant breast cancer.,24874954,Feng,Qin,Q,"Department of Molecular and Cellular Biology, Baylor College of Medicine, Houston, TX 77030, USA.",
2014,An epigenomic approach to therapy for tamoxifen-resistant breast cancer.,24874954,Zhang,Zheng,Z,"Department of Molecular and Cellular Biology, Baylor College of Medicine, Houston, TX 77030, USA.",
2014,An epigenomic approach to therapy for tamoxifen-resistant breast cancer.,24874954,Shea,Martin J,MJ,"Lester &amp; Sue Smith Breast Center, Baylor College of Medicine, Houston, TX 77030, USA.",
2014,An epigenomic approach to therapy for tamoxifen-resistant breast cancer.,24874954,Creighton,Chad J,CJ,"Dan L. Duncan Cancer Center, Baylor College of Medicine, Houston, TX 77030, USA.",
2014,An epigenomic approach to therapy for tamoxifen-resistant breast cancer.,24874954,Coarfa,Cristian,C,"Dan L. Duncan Cancer Center, Baylor College of Medicine, Houston, TX 77030, USA.",
2014,An epigenomic approach to therapy for tamoxifen-resistant breast cancer.,24874954,Hilsenbeck,Susan G,SG,"Lester &amp; Sue Smith Breast Center, Baylor College of Medicine, Houston, TX 77030, USA.",
2014,An epigenomic approach to therapy for tamoxifen-resistant breast cancer.,24874954,Lanz,Rainer,R,"Department of Molecular and Cellular Biology, Baylor College of Medicine, Houston, TX 77030, USA.",
2014,An epigenomic approach to therapy for tamoxifen-resistant breast cancer.,24874954,He,Bin,B,"1] Department of Molecular and Cellular Biology, Baylor College of Medicine, Houston, TX 77030, USA [2] Department of Medicine-Hematology &amp; Oncology, Baylor College of Medicine, Houston, TX 77030, USA.",
2014,An epigenomic approach to therapy for tamoxifen-resistant breast cancer.,24874954,Wang,Lei,L,"Department of Molecular and Cellular Biology, Baylor College of Medicine, Houston, TX 77030, USA.",
2014,An epigenomic approach to therapy for tamoxifen-resistant breast cancer.,24874954,Fu,Xiaoyong,X,"1] Department of Molecular and Cellular Biology, Baylor College of Medicine, Houston, TX 77030, USA [2] Lester &amp; Sue Smith Breast Center, Baylor College of Medicine, Houston, TX 77030, USA [3] Dan L. Duncan Cancer Center, Baylor College of Medicine, Houston, TX 77030, USA.",
2014,An epigenomic approach to therapy for tamoxifen-resistant breast cancer.,24874954,Nardone,Agostina,A,"1] Department of Molecular and Cellular Biology, Baylor College of Medicine, Houston, TX 77030, USA [2] Lester &amp; Sue Smith Breast Center, Baylor College of Medicine, Houston, TX 77030, USA [3] Dan L. Duncan Cancer Center, Baylor College of Medicine, Houston, TX 77030, USA.",
2014,An epigenomic approach to therapy for tamoxifen-resistant breast cancer.,24874954,Song,Yongcheng,Y,"Department of Pharmacology, Baylor College of Medicine, Houston, TX 77030, USA.",
2014,An epigenomic approach to therapy for tamoxifen-resistant breast cancer.,24874954,Bradner,James,J,"Department of Medical Oncology, Dana-Farber Cancer Institute, Department of Medicine, Harvard Medical School, Boston, MA 02215, USA.",
2014,An epigenomic approach to therapy for tamoxifen-resistant breast cancer.,24874954,Mitsiades,Nicholas,N,"1] Dan L. Duncan Cancer Center, Baylor College of Medicine, Houston, TX 77030, USA [2] Department of Medicine-Hematology &amp; Oncology, Baylor College of Medicine, Houston, TX 77030, USA.",
2014,An epigenomic approach to therapy for tamoxifen-resistant breast cancer.,24874954,Mitsiades,Constantine S,CS,"Department of Medical Oncology, Dana-Farber Cancer Institute, Department of Medicine, Harvard Medical School, Boston, MA 02215, USA.",
2014,An epigenomic approach to therapy for tamoxifen-resistant breast cancer.,24874954,Osborne,C Kent,CK,"1] Department of Molecular and Cellular Biology, Baylor College of Medicine, Houston, TX 77030, USA [2] Lester &amp; Sue Smith Breast Center, Baylor College of Medicine, Houston, TX 77030, USA [3] Dan L. Duncan Cancer Center, Baylor College of Medicine, Houston, TX 77030, USA.",
2014,An epigenomic approach to therapy for tamoxifen-resistant breast cancer.,24874954,Schiff,Rachel,R,"1] Department of Molecular and Cellular Biology, Baylor College of Medicine, Houston, TX 77030, USA [2] Lester &amp; Sue Smith Breast Center, Baylor College of Medicine, Houston, TX 77030, USA [3] Dan L. Duncan Cancer Center, Baylor College of Medicine, Houston, TX 77030, USA.",
2014,An epigenomic approach to therapy for tamoxifen-resistant breast cancer.,24874954,O'Malley,Bert W,BW,"1] Department of Molecular and Cellular Biology, Baylor College of Medicine, Houston, TX 77030, USA [2] Dan L. Duncan Cancer Center, Baylor College of Medicine, Houston, TX 77030, USA.",
2014,Brd4 Is Essential for IL-1Î_-Induced Inflammation in Human Airway Epithelial Cells.,24759736,Khan,Younis M,YM,"Airways Disease Section, National Heart &amp; Lung Institute, Imperial College London, London, United Kingdom.",
2014,Brd4 Is Essential for IL-1Î_-Induced Inflammation in Human Airway Epithelial Cells.,24759736,Kirkham,Paul,P,"School of Applied Sciences, University of Wolverhampton, Wolverhampton, United Kingdom.",
2014,Brd4 Is Essential for IL-1Î_-Induced Inflammation in Human Airway Epithelial Cells.,24759736,Barnes,Peter J,PJ,"Airways Disease Section, National Heart &amp; Lung Institute, Imperial College London, London, United Kingdom.",
