Agostina Nardone,,
Bert O&apos;Malley,,
Bin He,,
C Osborne,,
Chad Creighton,,
Constantine Mitsiades,,
Cristian Coarfa,,
James Bradner,"Puissant A, Frumm SM, Alexe G, et al. Targeting MYCN in neuroblastoma by BET bromodomain inhibition. Cancer Discov. 2013;3(3):308-23.",
Lei Wang,,
Martin Shea,"Feng Q, Zhang Z, Shea MJ, et al. An epigenomic approach to therapy for tamoxifen-resistant breast cancer. Cell Res. 2014;",
Nicholas Mitsiades,,
Qin Feng,"Feng Q, Zhang Z, Shea MJ, et al. An epigenomic approach to therapy for tamoxifen-resistant breast cancer. Cell Res. 2014;",
Rachel Schiff,,
Rainer Lanz,,
Susan Hilsenbeck,,
Xiaoyong Fu,,
Yongcheng Song,,
Amilcar Tanuri,,
Erica Mendes,,
George Thompson,,
Greg Melcher,,
Guochun Jiang,,
Joseph Wong,,
Luiz Pianowski,,
Mariana Weber,,
Philipp Kaiser,,
Satya Dandekar,,
Sumathi Sankaran-Walters,,
D Murray,,
J Chen,,
J Cheng,,
L Yu,,
L Zhang,,
L Zheng,,
Q Tu,,
S Kim,,
S Meng,,
X Zhou,,
Andrea Griesinger,,
Brian Cristiano,,
Diane Birks,,
Ilango Balakrishnan,,
Irina Alimova,,
Marc Remke,,
Michael Handler,,
Michael Taylor,,
Nicholas Foreman,,
Peter Harris,,
Rajeev Vibhakar,,
Sujatha Venkataraman,,
Aditya Shroff,,
Amy Rappaport,,
Chong Chen,,
Christopher Vakoc,,
Johannes Zuber,,
Kevin Shannon,,
Michelle LeBeau,,
Nikolaus Schultz,,
Ross Dickins,,
Scott Kogan,,
Scott Lowe,,
Thomas Kitzing,,
Wendy Stock,,
Yu Liu,,
C-Y Chen,,
G-T Sheu,,
H Lee,,
J-Y Wu,,
L-H Tsai,,
T-C Wu,,
A Franz,,
A Wunderlich,,
B Timmermann,,
H Lehrach,,
H SŸltmann,,
M Hirsch-Kauffmann,,
M Hussong,,
M Kerick,,
M Schweiger,,
Ian Adcock,"Khan YM, Kirkham P, Barnes PJ, Adcock IM. Brd4 Is Essential for IL-1_-Induced Inflammation in Human Airway Epithelial Cells. PLoS ONE. 2014;9(4):e95051.",
Paul Kirkham,"Khan YM, Kirkham P, Barnes PJ, Adcock IM. Brd4 Is Essential for IL-1_-Induced Inflammation in Human Airway Epithelial Cells. PLoS ONE. 2014;9(4):e95051.",
Peter Barnes,"Khan YM, Kirkham P, Barnes PJ, Adcock IM. Brd4 Is Essential for IL-1_-Induced Inflammation in Human Airway Epithelial Cells. PLoS ONE. 2014;9(4):e95051.",
Arul Chinnaiyan,,
Carl Engelke,,
Felix Feng,,
Irfan Asangani,,
June Escara-Wilke,,
Kari Wilder-Romans,,
Marcin Cieslik,,
Mathew Iyer,,
Rendong Yang,,
Rohit Malik,,
Shaomeng Wang,,
Sudheer Dhanireddy,,
Vijaya Dommeti,,
Xiaoju Wang,,
Xiaojun Jing,,
Xuhong Cao,,
Yi-Mi Wu,,
Charalambos Michaeloudes,,
Colin Clarke,,
Kian Chung,,
Nicolas Mercado,,
Pankaj Bhavsar,,
C Bullen,,
Christine Durand,,
Gregory Laird,,
Janet Siliciano,,
Allan Brasier,,
Chang Lee,,
Chukwudi Edeh,,
Mohammad Jamaluddin,,
Sutapa Ray,,
Benjamin Ory,,
Camille Jacques,,
Dominique Heymann,,
Fernando Lecanda,,
François Lamoureux,,
Françoise R_dini,,
Lidia Rodriguez Calleja,,
Marc Baud&apos;huin,,
Alejandro Gutierrez,,
Andrew Kung,"Puissant A, Frumm SM, Alexe G, et al. Targeting MYCN in neuroblastoma by BET bromodomain inhibition. Cancer Discov. 2013;3(3):308-23.",
Birgit Knoechel,,
Bradley Bernstein,,
Christopher Ott,,
Dale Greiner,,
Daniel Fernandez,,
Daniel Pearson,,
David Root,,
Federica Piccioni,,
Hongfang Wang,,
Jens Lohr,,
Jiang Zhu,,
Jon Aster,,
Justine Roderick,,
Kaylyn Williamson,,
Kimberly Stegmaier,"Puissant A, Frumm SM, Alexe G, et al. Targeting MYCN in neuroblastoma by BET bromodomain inhibition. Cancer Discov. 2013;3(3):308-23.",
Leonard Shultz,,
Manching Ku,,
Matthew Cotton,,
Michael Brehm,,
Michael Kluk,,
Michelle Kelliher,,
Mohit Jain,,
Serena Silver,,
Claudia Villica–a,"Villicaña C, Cruz G, Zurita M. The basal transcription machinery as a target for cancer therapy. Cancer Cell Int. 2014;14(1):18.",
Grisel Cruz,"Villicaña C, Cruz G, Zurita M. The basal transcription machinery as a target for cancer therapy. Cancer Cell Int. 2014;14(1):18.",
A Beesley,,
A Charles,,
A Stirnweiss,,
C Cole,,
E Ferrari,,
G Arndt,,
M Howlett,,
R Endersby,,
T Failes,,
Amaury Fern‡ndez-Montalv‡n,,
Benjamin Bader,,
Bernard Haendler,,
Dieter Moosmayer,,
Jessica Schulze,,
Marie Jung,,
Martin Philpott,"Filippakopoulos P, Qi J, Picaud S, et al. Selective inhibition of BET bromodomains. Nature. 2010;468(7327):1067-73.",
Norbert Schmees,,
Susanne MŸller,,
Uwe Ebersp_cher,,
Ali Shilatifard,,
Ananda Roy,,
Cheng-Ming Chiang,,
David Price,,
Joan Conaway,,
Payel Ghatak,,
Ronald Conaway,,
Brian Robinson,,
Carlos Cordon-Cardo,,
Hyejin Cho,,
John Wilkinson,,
Jun Qi,"Puissant A, Frumm SM, Alexe G, et al. Targeting MYCN in neuroblastoma by BET bromodomain inhibition. Cancer Discov. 2013;3(3):308-23.",
Lloyd Trotman,,
Mireia Castillo-Martin,,
Tali Herzka,,
David Frank,,
Erik Nelson,,
Martha Wadleigh,,
Michael Xiang,,
Patricia Toniolo,,
Richard Stone,,
Robert Cerulli,,
Sarah Walker,,
Bhavin Shah,,
Bryce Portier,,
Jianting Sheng,,
John Valenta,,
Kapil Bhalla,,
Karissa Peth,,
Leasha Schaub,,
Melissa Rodriguez,,
Ming Zhan,,
Santhana Devaraj,,
Sunil Sharma,"Fiskus W, Sharma S, Qi J, et al. Highly Active Combination of BRD4 Antagonist and Histone Deacetylase Inhibitor against Human Acute Myelogenous Leukemia Cells. Mol Cancer Ther. 2014;13(5):1142-54.",
Swaminathan Iyer,,
Andrew Rice,,
Gillian Horne,,
Helen Stewart,,
Sarah Bastow,,
A Look,,
Jessica Tesell,,
Lewis Silverman,,
Marian Harris,,
Bjoern Chapuy,,
Charles Lin,,
Elaine Reichert,,
Heather Sun,,
John Doench,,
Kelly Yeda,,
Margaret Shipp,,
Margaretha Roemer,,
Michael McKeown,"Filippakopoulos P, Qi J, Picaud S, et al. Selective inhibition of BET bromodomains. Nature. 2010;468(7327):1067-73.",
Peter Rahl,,
Richard Young,,
Scott Rodig,,
Anna Belkina,"Banerjee C, Archin N, Michaels D, et al. BET bromodomain inhibition as a novel strategy for reactivation of HIV-1. J Leukoc Biol. 2012;92(6):1147-54.",
Barbara Nikolajczyk,,
Gerald Denis,"Banerjee C, Archin N, Michaels D, et al. BET bromodomain inhibition as a novel strategy for reactivation of HIV-1. J Leukoc Biol. 2012;92(6):1147-54.",
Brenton Paolella,,
Brian Nguyen,,
